roots,max_family_size,citation_completeness,paraphrase_rate,topic_contamination,cases,method,tp,fp,tn,fn,precision,recall,f1,false_independence,false_dependence,source_count_error,brier,brier_mcse,log_loss,accuracy,confidently_wrong,sharpness
4,2,0.0,0.0,0.1,160,oracle,316,0,2144,0,1.0,1.0,1.0,0.0,0.0,0.0,0.07811952055950505,0.01268491712712276,0.25600057421848277,0.8875,0.0125,0.3644581287115707
4,2,0.0,0.0,0.1,160,all_independent,0,0,2144,316,1.0,0.0,0.0,1.0,0.0,0.49375,0.07784059946995128,0.014886919014181233,0.28596934699283316,0.9,0.025,0.3974267458585295
4,2,0.0,0.0,0.1,160,all_one,316,2144,0,0,0.12845528455284552,1.0,0.2276657060518732,0.0,1.0,0.75,0.13675579288971124,0.007070992126502019,0.44910708870728755,0.9,0.0,0.1621440355924214
4,2,0.0,0.0,0.1,160,citation,0,0,2144,316,1.0,0.0,0.0,1.0,0.0,0.49375,0.07784059946995128,0.014886919014181233,0.28596934699283316,0.9,0.025,0.3974267458585295
4,2,0.0,0.0,0.1,160,text,316,0,2144,0,1.0,1.0,1.0,0.0,0.0,0.0,0.07811952055950505,0.01268491712712276,0.25600057421848277,0.8875,0.0125,0.3644581287115707
4,2,0.0,0.0,0.1,160,hybrid,316,0,2144,0,1.0,1.0,1.0,0.0,0.0,0.0,0.07811952055950505,0.01268491712712276,0.25600057421848277,0.8875,0.0125,0.3644581287115707
4,2,0.0,0.0,0.5,160,oracle,320,0,2156,0,1.0,1.0,1.0,0.0,0.0,0.0,0.10078608402392257,0.015517707488047969,0.3122138951417298,0.8625,0.01875,0.3620868440071109
4,2,0.0,0.0,0.5,160,all_independent,0,0,2156,320,1.0,0.0,0.0,1.0,0.0,0.5,0.1007369757146442,0.017168006371788606,0.3200752503921301,0.85,0.0375,0.3978100115113842
4,2,0.0,0.0,0.5,160,all_one,320,2156,0,0,0.12924071082390953,1.0,0.22889842632331903,0.0,1.0,0.75,0.14328249369263457,0.007446672674963128,0.4637330242739438,0.85,0.0,0.15844570856168017
4,2,0.0,0.0,0.5,160,citation,0,0,2156,320,1.0,0.0,0.0,1.0,0.0,0.5,0.1007369757146442,0.017168006371788606,0.3200752503921301,0.85,0.0375,0.3978100115113842
4,2,0.0,0.0,0.5,160,text,320,437,1719,0,0.4227212681638045,1.0,0.5942432683379758,0.0,0.20269016697588127,0.1953125,0.10296318094495427,0.01453135650683656,0.33353122592136775,0.86875,0.01875,0.3306908963100453
4,2,0.0,0.0,0.5,160,hybrid,320,437,1719,0,0.4227212681638045,1.0,0.5942432683379758,0.0,0.20269016697588127,0.1953125,0.10296318094495427,0.01453135650683656,0.33353122592136775,0.86875,0.01875,0.3306908963100453
4,2,0.0,0.4,0.1,160,oracle,338,0,2255,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09705121950365278,0.015859226310577127,0.30787757277827027,0.8625,0.0125,0.37302956357059813
4,2,0.0,0.4,0.1,160,all_independent,0,0,2255,338,1.0,0.0,0.0,1.0,0.0,0.528125,0.10424829495451719,0.01990179323310903,0.35378354991421507,0.88125,0.05625,0.4240821304422527
4,2,0.0,0.4,0.1,160,all_one,338,2255,0,0,0.13035094485152332,1.0,0.23063800750597066,0.0,1.0,0.75,0.1431922094198645,0.007753405882380133,0.4641235772035741,0.88125,0.0,0.16397234333265606
4,2,0.0,0.4,0.1,160,citation,0,0,2255,338,1.0,0.0,0.0,1.0,0.0,0.528125,0.10424829495451719,0.01990179323310903,0.35378354991421507,0.88125,0.05625,0.4240821304422527
4,2,0.0,0.4,0.1,160,text,323,0,2255,15,1.0,0.9556213017751479,0.9773071104387292,0.04437869822485207,0.0,0.0234375,0.09610098980878201,0.01586590617795044,0.30433531527873614,0.8625,0.0125,0.3759170037574536
4,2,0.0,0.4,0.1,160,hybrid,323,0,2255,15,1.0,0.9556213017751479,0.9773071104387292,0.04437869822485207,0.0,0.0234375,0.09610098980878201,0.01586590617795044,0.30433531527873614,0.8625,0.0125,0.3759170037574536
4,2,0.0,0.4,0.5,160,oracle,309,0,2113,0,1.0,1.0,1.0,0.0,0.0,0.0,0.07716457775735322,0.01263822787357037,0.2534386514753025,0.8875,0.00625,0.3676936192558359
4,2,0.0,0.4,0.5,160,all_independent,0,0,2113,309,1.0,0.0,0.0,1.0,0.0,0.4828125,0.08797043165082528,0.016504186995358282,0.29641058688101574,0.875,0.025,0.4054981724496269
4,2,0.0,0.4,0.5,160,all_one,309,2113,0,0,0.12758051197357556,1.0,0.22629073599414135,0.0,1.0,0.75,0.13932981622100363,0.007279103301910928,0.4557786882237199,0.875,0.0,0.1617518576906553
4,2,0.0,0.4,0.5,160,citation,0,0,2113,309,1.0,0.0,0.0,1.0,0.0,0.4828125,0.08797043165082528,0.016504186995358282,0.29641058688101574,0.875,0.025,0.4054981724496269
4,2,0.0,0.4,0.5,160,text,307,415,1698,2,0.425207756232687,0.9935275080906149,0.5955383123181378,0.006472491909385114,0.19640321817321343,0.1828125,0.09169705052349783,0.012487716314520409,0.3006082822272624,0.86875,0.00625,0.32921320986360153
4,2,0.0,0.4,0.5,160,hybrid,307,415,1698,2,0.425207756232687,0.9935275080906149,0.5955383123181378,0.006472491909385114,0.19640321817321343,0.1828125,0.09169705052349783,0.012487716314520409,0.3006082822272624,0.86875,0.00625,0.32921320986360153
4,2,0.0,0.8,0.1,160,oracle,317,0,2130,0,1.0,1.0,1.0,0.0,0.0,0.0,0.08053867217733622,0.013724340283313588,0.2839673945825924,0.90625,0.01875,0.36066369831852557
4,2,0.0,0.8,0.1,160,all_independent,0,0,2130,317,1.0,0.0,0.0,1.0,0.0,0.4953125,0.09555860568686537,0.018445978079845566,0.35975489219528456,0.8875,0.04375,0.41377700445034193
4,2,0.0,0.8,0.1,160,all_one,317,2130,0,0,0.12954638332652227,1.0,0.22937771345875543,0.0,1.0,0.75,0.1477226401184792,0.007971685563236585,0.4759167159848022,0.8875,0.0,0.15698533902488696
4,2,0.0,0.8,0.1,160,citation,0,0,2130,317,1.0,0.0,0.0,1.0,0.0,0.4953125,0.09555860568686537,0.018445978079845566,0.35975489219528456,0.8875,0.04375,0.41377700445034193
4,2,0.0,0.8,0.1,160,text,21,0,2130,296,1.0,0.06624605678233439,0.12426035502958581,0.9337539432176656,0.0,0.4625,0.0987389426736979,0.018472401870158896,0.3684671761515999,0.8875,0.04375,0.4081140495861857
4,2,0.0,0.8,0.1,160,hybrid,21,0,2130,296,1.0,0.06624605678233439,0.12426035502958581,0.9337539432176656,0.0,0.4625,0.0987389426736979,0.018472401870158896,0.3684671761515999,0.8875,0.04375,0.4081140495861857
4,2,0.0,0.8,0.5,160,oracle,311,0,2105,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09132941869480159,0.014120834505034669,0.30065606469434647,0.86875,0.01875,0.35523537802120203
4,2,0.0,0.8,0.5,160,all_independent,0,0,2105,311,1.0,0.0,0.0,1.0,0.0,0.4859375,0.09824730907313485,0.01643487557386265,0.3476196400149637,0.86875,0.025,0.38409188824030693
4,2,0.0,0.8,0.5,160,all_one,311,2105,0,0,0.1287251655629139,1.0,0.22808947561422813,0.0,1.0,0.75,0.14768145896941295,0.007512227056661312,0.4729228801544255,0.86875,0.0,0.1521667555145373
4,2,0.0,0.8,0.5,160,citation,0,0,2105,311,1.0,0.0,0.0,1.0,0.0,0.4859375,0.09824730907313485,0.01643487557386265,0.3476196400149637,0.86875,0.025,0.38409188824030693
4,2,0.0,0.8,0.5,160,text,165,330,1775,146,0.3333333333333333,0.5305466237942122,0.40942928039702237,0.4694533762057878,0.15676959619952494,0.23125,0.10887819852683919,0.015490982182642065,0.36579018448839806,0.825,0.025,0.34654866181697874
4,2,0.0,0.8,0.5,160,hybrid,165,330,1775,146,0.3333333333333333,0.5305466237942122,0.40942928039702237,0.4694533762057878,0.15676959619952494,0.23125,0.10887819852683919,0.015490982182642065,0.36579018448839806,0.825,0.025,0.34654866181697874
4,2,0.5,0.0,0.1,160,oracle,319,0,2159,0,1.0,1.0,1.0,0.0,0.0,0.0,0.08214356591869734,0.013208796871309344,0.2624470601462018,0.88125,0.0125,0.3647592332817493
4,2,0.5,0.0,0.1,160,all_independent,0,0,2159,319,1.0,0.0,0.0,1.0,0.0,0.4984375,0.09545762661486154,0.017014057966877192,0.30356738544665784,0.85625,0.025,0.4072071323136354
4,2,0.5,0.0,0.1,160,all_one,319,2159,0,0,0.12873284907183213,1.0,0.2281015373614587,0.0,1.0,0.75,0.13958479540803995,0.007325858438702815,0.45587908041722275,0.85625,0.0,0.16254450781356705
4,2,0.5,0.0,0.1,160,citation,159,0,2159,160,1.0,0.49843260188087773,0.6652719665271967,0.5015673981191222,0.0,0.25,0.09473564123860365,0.016652731637666764,0.30186830164783707,0.8625,0.025,0.3936381357947581
4,2,0.5,0.0,0.1,160,text,319,0,2159,0,1.0,1.0,1.0,0.0,0.0,0.0,0.08214356591869734,0.013208796871309344,0.2624470601462018,0.88125,0.0125,0.3647592332817493
4,2,0.5,0.0,0.1,160,hybrid,319,0,2159,0,1.0,1.0,1.0,0.0,0.0,0.0,0.08214356591869734,0.013208796871309344,0.2624470601462018,0.88125,0.0125,0.3647592332817493
4,2,0.5,0.0,0.5,160,oracle,291,0,2025,0,1.0,1.0,1.0,0.0,0.0,0.0,0.07783005315899252,0.01273113577121716,0.25161019358347836,0.9,0.00625,0.3663177353094151
4,2,0.5,0.0,0.5,160,all_independent,0,0,2025,291,1.0,0.0,0.0,1.0,0.0,0.4546875,0.07733001785330423,0.01492554224353089,0.2596808235559443,0.89375,0.0125,0.4067935683168994
4,2,0.5,0.0,0.5,160,all_one,291,2025,0,0,0.12564766839378239,1.0,0.2232451093210587,0.0,1.0,0.75,0.1347551345178844,0.0069290372134015055,0.4458900632924901,0.89375,0.0,0.16386152339669582
4,2,0.5,0.0,0.5,160,citation,144,0,2025,147,1.0,0.4948453608247423,0.6620689655172414,0.5051546391752577,0.0,0.2296875,0.08082038444478795,0.01465869021997367,0.257295802388573,0.875,0.0125,0.39435155697027796
4,2,0.5,0.0,0.5,160,text,291,384,1641,0,0.4311111111111111,1.0,0.6024844720496895,0.0,0.18962962962962962,0.178125,0.08769922884351451,0.012367722437894071,0.2932400909379394,0.90625,0.00625,0.32904147766274555
4,2,0.5,0.0,0.5,160,hybrid,291,384,1641,0,0.4311111111111111,1.0,0.6024844720496895,0.0,0.18962962962962962,0.178125,0.08769922884351451,0.012367722437894071,0.2932400909379394,0.90625,0.00625,0.32904147766274555
4,2,0.5,0.4,0.1,160,oracle,324,0,2171,0,1.0,1.0,1.0,0.0,0.0,0.0,0.11676078008644955,0.016335007290824263,0.35225647014001954,0.83125,0.0125,0.34987657304715947
4,2,0.5,0.4,0.1,160,all_independent,0,0,2171,324,1.0,0.0,0.0,1.0,0.0,0.50625,0.12969517106033027,0.020838529371579963,0.4308482134865715,0.83125,0.05625,0.3970459017122562
4,2,0.5,0.4,0.1,160,all_one,324,2171,0,0,0.12985971943887775,1.0,0.22986874778290173,0.0,1.0,0.75,0.15668368452401896,0.00806118316283433,0.4925894538083111,0.83125,0.0,0.15048385872280462
4,2,0.5,0.4,0.1,160,citation,170,0,2171,154,1.0,0.5246913580246914,0.6882591093117408,0.47530864197530864,0.0,0.240625,0.11755876074849499,0.017695449355790885,0.36201229611625707,0.81875,0.01875,0.37815626716940354
4,2,0.5,0.4,0.1,160,text,302,0,2171,22,1.0,0.9320987654320988,0.9648562300319489,0.06790123456790123,0.0,0.034375,0.1165677714552785,0.016915174640634602,0.3568906312373924,0.83125,0.01875,0.3565720637305012
